bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-A2-A0CM-10A	TCGA-A2-A0CM-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CM-10A	TCGA-A2-A0CM-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CP-01A	TCGA-A2-A0CP-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CP-01A	TCGA-A2-A0CP-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CP-01A	TCGA-A2-A0CP-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CP-01A	TCGA-A2-A0CP-01A-11X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CP-10A	TCGA-A2-A0CP-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CP-10A	TCGA-A2-A0CP-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CP-10A	TCGA-A2-A0CP-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CQ-01A	TCGA-A2-A0CQ-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CQ-01A	TCGA-A2-A0CQ-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CQ-01A	TCGA-A2-A0CQ-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CQ-01A	TCGA-A2-A0CQ-01A-21X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CQ-10A	TCGA-A2-A0CQ-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CQ-10A	TCGA-A2-A0CQ-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CQ-10A	TCGA-A2-A0CQ-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CS-01A	TCGA-A2-A0CS-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CS-01A	TCGA-A2-A0CS-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CS-01A	TCGA-A2-A0CS-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CS-10A	TCGA-A2-A0CS-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CS-10A	TCGA-A2-A0CS-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CT-01A	TCGA-A2-A0CT-01A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CT-01A	TCGA-A2-A0CT-01A-31R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CT-01A	TCGA-A2-A0CT-01A-31W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CT-01A	TCGA-A2-A0CT-01A-31X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CT-10A	TCGA-A2-A0CT-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CT-10A	TCGA-A2-A0CT-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CT-10A	TCGA-A2-A0CT-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CU-01A	TCGA-A2-A0CU-01A-12D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CU-01A	TCGA-A2-A0CU-01A-12R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CU-01A	TCGA-A2-A0CU-01A-12W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CU-01A	TCGA-A2-A0CU-01A-12X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CU-10A	TCGA-A2-A0CU-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CU-10A	TCGA-A2-A0CU-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CU-10A	TCGA-A2-A0CU-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CV-01A	TCGA-A2-A0CV-01A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CV-01A	TCGA-A2-A0CV-01A-31R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CV-01A	TCGA-A2-A0CV-01A-31W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CV-10A	TCGA-A2-A0CV-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CV-10A	TCGA-A2-A0CV-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CW-01A	TCGA-A2-A0CW-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CW-01A	TCGA-A2-A0CW-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CW-01A	TCGA-A2-A0CW-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CW-10A	TCGA-A2-A0CW-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CW-10A	TCGA-A2-A0CW-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CX-01A	TCGA-A2-A0CX-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
