bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment	bcr_shipment_portion_uuid	center_id	plate_id	portion_number
TCGA-D8-A27E-01A	TCGA-D8-A27E-01A-21-A17K-20	27	7	2011	BAC504B5-18A0-4FDB-AEA0-4B6E76E8EEB9	20	A17K	21
TCGA-D8-A27F-01A	TCGA-D8-A27F-01A-21-A17K-20	27	7	2011	7CE10802-B13B-47AF-ABE3-B8DEAF2C64F4	20	A17K	21
TCGA-D8-A27G-01A	TCGA-D8-A27G-01A-21-A17K-20	27	7	2011	10A00B30-4059-4D67-90A5-6FC691CB676E	20	A17K	21
TCGA-D8-A27H-01A	TCGA-D8-A27H-01A-21-A17K-20	27	7	2011	54304E23-2F82-43D6-9ACE-F054D7A0F410	20	A17K	21
TCGA-D8-A27I-01A	TCGA-D8-A27I-01A-21-A17L-20	27	7	2011	19440CD1-DAA0-4103-9BE8-B878A9C59988	20	A17L	21
TCGA-D8-A27K-01A	TCGA-D8-A27K-01A-21-A17L-20	27	7	2011	D8B985F8-CBAD-42BB-995C-42D7F8221EA4	20	A17L	21
TCGA-D8-A27L-01A	TCGA-D8-A27L-01A-21-A17L-20	27	7	2011	5F8E2312-38BD-45F9-B2E3-4B51674613C6	20	A17L	21
TCGA-D8-A27M-01A	TCGA-D8-A27M-01A-21-A17L-20	27	7	2011	1D3DE8E5-DF7A-4E6C-A929-E03F23DDF78B	20	A17L	21
TCGA-D8-A27N-01A	TCGA-D8-A27N-01A-21-A17L-20	27	7	2011	40A0EE09-0C09-4320-8895-74C68841C341	20	A17L	21
TCGA-D8-A27P-01A	TCGA-D8-A27P-01A-21-A17L-20	27	7	2011	EAD322FE-B46F-4CC6-A367-5E7681A6F494	20	A17L	21
TCGA-D8-A27R-01A	TCGA-D8-A27R-01A-21-A17L-20	27	7	2011	A5EEF620-CA1E-4125-9143-286BADA198CF	20	A17L	21
TCGA-D8-A27T-01A	TCGA-D8-A27T-01A-21-A17L-20	27	7	2011	BC97C384-D3A4-400B-B9F7-CBCA9E5356D8	20	A17L	21
TCGA-D8-A27W-01A	TCGA-D8-A27W-01A-21-A17L-20	27	7	2011	14737F59-B01C-4ED7-A08B-3A05926F8D87	20	A17L	21
TCGA-E2-A107-01A	TCGA-E2-A107-01A-21-A13D-20	18	3	2011	ea9612ed-23f6-44e6-92f4-7cc7d3cef266	20	A13D	21
TCGA-E2-A108-01A	TCGA-E2-A108-01A-21-A13D-20	18	3	2011	0e4168e1-0fd3-4a3b-b878-d4c88ced0311	20	A13D	21
TCGA-E2-A109-01A	TCGA-E2-A109-01A-21-A13D-20	17	3	2011	a2cbc0c2-b14e-460f-bc12-5aa350950e00	20	A13D	21
TCGA-E2-A10A-01A	TCGA-E2-A10A-01A-11-A13D-20	18	3	2011	18a5dc5d-47d6-495a-a3d5-e19cd79678f4	20	A13D	11
TCGA-E2-A10B-01A	TCGA-E2-A10B-01A-21-A13D-20	18	3	2011	f0d6030f-5893-4ff7-8072-b4ecafb7a860	20	A13D	21
TCGA-E2-A10C-01A	TCGA-E2-A10C-01A-11-A13D-20	18	3	2011	a000b0bf-7241-4898-8bc9-1d130065cc5d	20	A13D	11
TCGA-E2-A10E-01A	TCGA-E2-A10E-01A-11-A13D-20	18	3	2011	3511ab99-23f6-45bb-b2f9-28e547200841	20	A13D	11
TCGA-E2-A14N-01A	TCGA-E2-A14N-01A-21-A17I-20	27	7	2011	DF24B18E-26F0-494D-A7BC-4672B1A0314B	20	A17I	21
TCGA-E2-A14O-01A	TCGA-E2-A14O-01A-21-A13E-20	18	3	2011	1b57149c-21de-43c8-8f92-f6adbd5623c3	20	A13E	21
TCGA-E2-A14P-01A	TCGA-E2-A14P-01A-21-A13E-20	17	3	2011	3a9dace0-ee3c-42bc-8c9a-30998aae35f0	20	A13E	21
TCGA-E2-A14Q-01A	TCGA-E2-A14Q-01A-21-A13E-20	18	3	2011	9ebd7a3c-5f75-479b-a6a3-b4f00221955f	20	A13E	21
TCGA-E2-A14S-01A	TCGA-E2-A14S-01A-21-A13E-20	18	3	2011	010a31fc-4218-4110-b2d0-4791ca77d417	20	A13E	21
TCGA-E2-A14T-01A	TCGA-E2-A14T-01A-21-A13E-20	18	3	2011	356382a7-c34b-4e96-aaf2-9901ccc6d72c	20	A13E	21
